Target ,East 2,North 2,Height 2
B1.2N,528853.388,179191.375,12.357
B1.3,528843.271,179197.27,12.354
B1.4,528825.118,179207.861,12.379
B1.5,528815.236,179213.594,12.185
B1.7,528871.99,179182.479,12.749
B1.8,528857.948,179188.716,12.394
B1.9,528838.316,179200.159,12.459
B1.10,528832.364,179203.639,12.404
B1.11,528810.45,179216.378,12.385
,,,
B3.2,528853.921,179191.085,19.323
B3.3,528844.579,179196.501,19.266
B3.4,528826.805,179206.874,19.279
B3.5,528817.996,179211.998,19.268
B3.7,528872.106,179182.427,19.512
B3.8,528867.834,179184.227,19.716
B3.9,528858.014,179188.71,19.331
B3.10,528839.055,179199.723,19.426
B3.11,528833.459,179202.989,19.488
B3.12,528811.985,179215.484,19.437
,,,
B5.2,NULL,NULL,NULL
B5.3,528844.339,179196.671,26.257
B5.4,528828.833,179205.684,26.327
B5.5,528814.585,179213.953,26.241
B5.8,528823.487,179208.797,26.156
B5.91,NULL,NULL,NULL
B5.92,NULL,NULL,NULL
B5.93,NULL,NULL,NULL
,,,
S1.1,528862.74,179181.792,10.484
S1.2,528862.741,179181.792,13.292
S1.3,NULL,NULL,NULL
S1.4,NULL,NULL,NULL
,,,
S2.1,528804.657,179215.559,10.435
S2.2,528804.652,179215.551,13.299
S2.3,528805.271,179215.194,17.656
S2.4,528804.751,179215.517,20.78
,,,
,,,
SO1.1,528800.753,179213.289,12.38
SO1.2,528809.729,179207.54,12.481
SO1.3,528821.245,179201.369,12.529
SO1.4,528841.085,179189.802,12.671
SO1.5,528851.522,179183.736,12.611
SO1.6,528865.486,179175.646,12.424
,,,
SO3.1N,528799.643,179214.014,18.799
SO3.2N,528809.693,179207.633,18.925
SO3.3N,528820.119,179202.097,18.792
SO3.4,528841.044,179189.887,19.102
SO3.5,528851.477,179183.831,19.101
SO3.6,528865.452,179175.726,19.057
,,,
,,,
SO5.4,528840.966,179190.015,25.888
SO5.5,528851.432,179183.925,25.99
SO5.6,528864.807,179176.161,26.331
,,,
E1.1,528871.844,179180.202,12.468
E1.2,528877.902,179194.944,12.472
,,,
E3.1,528871.765,179180.151,19.005
E3.2,528877.815,179194.886,18.984
,,,
,,,
W1.1,528799.713,179228.896,12.355
W1.2,528796.029,179220.172,12.347
,,,
W3.1,528799.788,179228.952,18.93
W3.2,528796.1,179220.23,18.797
,,,
,,,
,,,
P01,528881.281,179191.158,5.21
P02,528878.494,179184.338,5.359
P03,528869.082,179172.824,5.877
P04,528857.455,179173.902,5.92
P06,528829.884,179189.864,6.235
P07,528818.215,179198.108,6.472
P08,528807.181,179203.078,6.516
P09,528789.79,179217.616,6.683
P10,528799.595,179231.731,6.849
P11,528783.334,179220.923,6.784
P12,528793.274,179246.182,6.976
P13,528799.167,179263.693,7.401
P14,528810.189,179258.511,7.081
P15,528800.524,179240.734,6.887
P16,528808.76,179233.723,6.156
P17,528803.841,179230.881,6.348
P23,528883.327,179199.995,5.056
P24,528891.847,179217.64,5.028
P25,528906.477,179217.365,4.946
P26,528897.085,179192.852,4.958
P27,528887.314,179173.63,4.997
P28,528857.658,179159.845,5.622
P29,528829.073,179176.549,6.117
P30,528804.621,179190.83,6.411
P31,528789.475,179199.633,6.674
,,,
HO12,528808.153,179246.482,18.689
HO13,528808.15,179246.492,15.645
HO14,528808.189,179246.604,13.339
HO15,528804.956,179239.124,18.689
HO16,528804.94,179239.092,15.692
HO17,528804.97,179239.178,12.598
HO18,528813.593,179232.663,8.144
CL1.1,NULL,NULL,NULL
CL1.2,NULL,NULL,NULL
CL1.3,NULL,NULL,NULL
CL1.4,NULL,NULL,NULL
CL1.5,NULL,NULL,NULL
CL1.6,NULL,NULL,NULL
CL1.7,NULL,NULL,NULL
,,,
CL3.1,NULL,NULL,NULL
CL3.2,NULL,NULL,NULL
CL3.3,NULL,NULL,NULL
CL3.4,NULL,NULL,NULL
CL3.5,NULL,NULL,NULL
CL3.6,NULL,NULL,NULL
CL3.7,NULL,NULL,NULL
,,,
CL5.1,NULL,NULL,NULL
CL5.2,NULL,NULL,NULL
CL5.3,NULL,NULL,NULL
CL5.4,NULL,NULL,NULL
CL5.5,NULL,NULL,NULL
CL5.6,NULL,NULL,NULL
CL5.7,NULL,NULL,NULL
